baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000025582.4	424.894564956199	-3.10595293242944	0.151457415452771	-20.5071037502153	1.8604807449054e-93	3.92732297651613e-91
ENSMUSG00000030093.7	368.91491706155	-6.51658244099296	0.319221838501291	-20.4139618755018	1.2567298563211e-92	2.62605763007218e-90
ENSMUSG00000041362.17	459.456982774031	-3.38085306519689	0.16566771937603	-20.4074340971826	1.43629633533704e-92	2.97126622891173e-90
ENSMUSG00000071847.13	976.17308289829	-2.16976685736994	0.107303633502026	-20.2208143988803	6.42143248970736e-91	1.31524924667897e-88
ENSMUSG00000053030.11	715.51814645664	-8.1601346651969	0.403791815714414	-20.2087668635865	8.19703677516119e-91	1.66247156635058e-88
ENSMUSG00000022865.14	1017.89691957871	-3.41245054972295	0.169215254364101	-20.1663293451095	1.93477113791529e-90	3.88588451748094e-88
ENSMUSG00000039457.4	325.366068744433	-3.87493943258522	0.192371559581103	-20.142995362844	3.10008550503811e-90	6.16648738872339e-88
ENSMUSG00000102752.1	291.65252968245	-4.09679790145406	0.203390776748204	-20.142495972302	3.13150419282131e-90	6.16965973684709e-88
ENSMUSG00000029154.13	732.126853349502	-8.2920562038574	0.412295488838549	-20.1119256172713	5.8026858692403e-90	1.13245436393372e-87
ENSMUSG00000028128.13	1790.7214802991	2.08943743988238	0.103941723154478	20.1020088610331	7.08661344339441e-90	1.37010067573365e-87
ENSMUSG00000022346.16	4842.31096231102	-2.52479491676668	0.125921853880492	-20.0504903554142	1.99865493959925e-89	3.82834951254533e-87
ENSMUSG00000022102.13	303.629955600705	-5.63762181531294	0.281444095892956	-20.0310537601654	2.95342017827592e-89	5.6052663511921e-87
ENSMUSG00000021182.16	302.523854143939	-4.03017974649907	0.201597985966689	-19.9911706814621	6.57353579172814e-89	1.23624304475891e-86
ENSMUSG00000028434.12	984.575011480394	-2.52765205922463	0.126710037274917	-19.9483175412576	1.55017571000818e-88	2.88905269485939e-86
ENSMUSG00000042216.13	360.201997696794	-3.34077882995228	0.167532137995671	-19.9411221627137	1.79003839567841e-88	3.30629681173207e-86
